parametres,cours_eau,station_mesure,code_prelevement,date_prelevement,date_analyse,resultat_analyse,unite_mesure,qualification_resultat,,,,,,,,
PCBs_A1260,le_Falleron,FALLERON_à_MACHECOUL,20181001100433-PC-15600,2018-11-27,2018-11-28,0.1,µg/L,Correcte,,,,,,,,
Chlorbufame,le_Falleron,FALLERON_à_MACHECOUL,20181001100433-PC-15600,2018-11-27,2018-11-28,0.01,µg/L,Correcte,,,,,,,,
Chlorprophame,le_Falleron,FALLERON_à_MACHECOUL,20181001100433-PC-15600,2018-11-27,2018-11-28,0.01,µg/L,Correcte,,,,,,,,
Dicamba,le_Falleron,FALLERON_à_MACHECOUL,20181001100433-PC-15600,2018-11-27,2018-11-28,0.005,µg/L,Correcte,,,,,,,,
Pirimicarbe,le_Falleron,FALLERON_à_MACHECOUL,20181001100433-PC-15600,2018-11-27,2018-11-28,0.005,µg/L,Correcte,,,,,,,,
Buturon,le_Falleron,FALLERON_à_MACHECOUL,20181001100433-PC-15600,2018-11-27,2018-11-28,0.005,µg/L,Correcte,,,,,,,,
Chloroaniline-2,le_Falleron,FALLERON_à_MACHECOUL,20181001100433-PC-15600,2018-11-27,2018-11-28,0.01,µg/L,Correcte,,,,,,,,
Matières_en_suspension,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114121-PC-479012,2017-05-16,2017-05-17,8.0,mg/L,Correcte,,,,,,,,
Oxadiargyl,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114121-PC-479012,2017-05-16,2017-05-18,0.005,µg/L,Correcte,,,,,,,,
Prosulfuron,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114121-PC-479012,2017-05-16,2017-06-08,0.02,µg/L,Correcte,,,,,,,,
Fénarimol,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114121-PC-479012,2017-05-16,2017-06-09,0.05,µg/L,Correcte,,,,,,,,
Clopyralide,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114130-PC-479019,2017-12-15,2017-12-21,0.1,µg/L,Correcte,,,,,,,,
Iprodione,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114130-PC-479019,2017-12-15,2017-12-29,0.01,µg/L,Correcte,,,,,,,,
Desmediphame,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114130-PC-479019,2017-12-15,2017-12-29,0.01,µg/L,Correcte,,,,,,,,
Orthophosphates,les_Forges,RAU_DES_FORGES_À_AVESSAC,_centrifugée...),20190206114124-PC-479016,0001-01-01T08:53:28+00:53,1433,162,1,,,,,,,,
pH,l'Isac,ISAC_à_SAFFRE,20190103125618-PC-445337,2017-12-07,2017-12-07,7.4,unité_pH,Correcte,,,,,,,,
Azote_Kjeldahl,l'Isac,ISAC_à_SAFFRE,20190103125619-PC-445340,2017-06-01,2017-06-01,0.7000000000000001,mg(N)/L,Correcte,,,,,,,,
Température_de_l'Eau,l'Isac,ISAC_à_SAFFRE,20190103125619-PC-445341,2017-04-21,2017-04-21,9.6,°C,Correcte,,,,,,,,
Matières_en_suspension,l'Isac,ISAC_à_SAFFRE,20190103125619-PC-445342,2017-02-13,2017-02-13,3.0,mg/L,Correcte,,,,,,,,
Carbone_Organique,l'Isac,ISAC_à_SAFFRE,_centrifugée...),20190103125618-PC-445338,0001-01-01T11:13:28+00:53,1841,163,1,,,,,,,,
Carbone_Organique,l'Isac,ISAC_à_SAFFRE,_centrifugée...),20190103125619-PC-445341,0001-01-01T12:13:28+00:53,1841,163,1,,,,,,,,
dithianon,le_Perche,RAU_DU_PERCHE_À_VAY,20190306104413-PC-508235,2017-05-23,2017-06-16,0.05,µg/L,Correcte,,,,,,,,
Pirimicarbe,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114121-PC-479012,2017-05-16,2017-06-09,0.01,µg/L,Correcte,,,,,,,,
Chlorsulfuron,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114118-PC-479011,2017-04-19,2017-04-27,0.01,µg/L,Correcte,,,,,,,,
Cycluron,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114118-PC-479011,2017-04-19,2017-04-27,0.01,µg/L,Correcte,,,,,,,,
Thiafluamide,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114118-PC-479011,2017-04-19,2017-04-27,0.02,µg/L,Correcte,,,,,,,,
Tembotrione,les_Forges,RAU_DES_FORGES_À_AVESSAC,20190206114118-PC-479011,2017-04-19,2017-05-04,0.05,µg/L,Correcte,,,,,,,,
PCB_20,la_Cône,R_CONE_À_JANS,20190103125109-PC-445030,2017-04-19,2017-04-20,0.01,µg/L,Correcte,,,,,,,,
Dichlorvos,la_Cône,R_CONE_À_JANS,20190103125126-PC-445038,2017-05-29,2017-05-30,0.005,µg/L,Correcte,,,,,,,,
Diméthoate,la_Cône,R_CONE_À_JANS,20190103125126-PC-445038,2017-05-29,2017-05-30,0.005,µg/L,Correcte,,,,,,,,
Nitrofène,la_Cône,R_CONE_À_JANS,20190103125126-PC-445038,2017-05-29,2017-05-30,0.01,µg/L,Correcte,,,,,,,,
Fenvalérate,la_Cône,R_CONE_À_JANS,20190103125126-PC-445038,2017-05-29,2017-05-30,0.5,µg/L,Correcte,,,,,,,,
Metolachlor_ESA,le_Sauzignac,RAU_DE_SAUZIGNAC_À_JANS,20190103141829-PC-448829,2017-04-19,2017-04-20,0.11,µg/L,Correcte,,,,,,,,
Métolachlore_énant_S,le_Sauzignac,RAU_DE_SAUZIGNAC_À_JANS,20190103141829-PC-448829,2017-04-19,2017-04-20,0.1,µg/L,Correcte,,,,,,,,
Benfluraline,le_Sauzignac,RAU_DE_SAUZIGNAC_À_JANS,20190103141839-PC-448836,2017-05-29,2017-05-30,0.1,µg/L,Correcte,,,,,,,,
Captafol,le_Sauzignac,RAU_DE_SAUZIGNAC_À_JANS,20190103141839-PC-448836,2017-05-29,2017-05-30,0.1,µg/L,Correcte,,,,,,,,
HCH_delta,le_Sauzignac,RAU_DE_SAUZIGNAC_À_JANS,20190103141839-PC-448836,2017-05-29,2017-05-30,0.001,µg/L,Correcte,,,,,,,,
Terbutryne,le_Sauzignac,RAU_DE_SAUZIGNAC_À_JANS,20190103141839-PC-448836,2017-05-29,2017-05-30,0.009000000000000001,µg/L,Correcte,,,,,,,,
Bromopropylate,le_Sauzignac,RAU_DE_SAUZIGNAC_À_JANS,20190103141839-PC-448836,2017-05-29,2017-05-30,0.05,µg/L,Correcte,,,,,,,,
Benalaxyl,le_Sauzignac,RAU_DE_SAUZIGNAC_À_JANS,20190103141839-PC-448836,2017-05-29,2017-05-30,0.005,µg/L,Correcte,,,,,,,,
Buprofézine,le_Sauzignac,RAU_DE_SAUZIGNAC_À_JANS,20190103141839-PC-448836,2017-05-29,2017-05-30,0.05,µg/L,Correcte,,,,,,,,
Iprovalicarb,la_Cône,R_CONE_À_JANS,20190103125211-PC-445064,2017-12-11,2017-12-11,0.005,µg/L,Correcte,,,,,,,,
Propamocarb_hydrochloride,la_Cône,R_CONE_À_JANS,20190103125211-PC-445064,2017-12-11,2017-12-11,0.1,µg/L,Correcte,,,,,,,,
Fenizon,la_Cône,R_CONE_À_JANS,20190103125211-PC-445064,2017-12-11,2017-12-11,0.02,µg/L,Correcte,,,,,,,,
Métolachlore_NOA_413173,la_Cône,R_CONE_À_JANS,20190103125211-PC-445064,2017-12-11,2017-12-11,0.199,µg/L,Correcte,,,,,,,,
Diméthénamide_OXA,la_Cône,R_CONE_À_JANS,20190103125211-PC-445064,2017-12-11,2017-12-11,0.075,µg/L,Correcte,,,,,,,,
Conductivité,la_Cône,R_CONE_À_JANS,20190103125232-PC-445080,2017-08-01,2017-08-01,,µS/cm,Correcte,,,,,,,,
Fenchlorphos,le_Sauzignac,RAU_DE_SAUZIGNAC_À_JANS,20190103141829-PC-448829,2017-04-19,2017-04-20,0.01,µg/L,Correcte,,,,,,,,
HCH_gamma,le_Sauzignac,RAU_DE_SAUZIGNAC_À_JANS,20190103141829-PC-448829,2017-04-19,2017-04-20,0.001,µg/L,Correcte,,,,,,,,
Bioresméthrine,le_Sauzignac,RAU_DE_SAUZIGNAC_À_JANS,20190103141829-PC-448829,2017-04-19,2017-04-20,0.01,µg/L,Correcte,,,,,,,,
Mercaptodiméthur,le_Sauzignac,RAU_DE_SAUZIGNAC_À_JANS,20190103141829-PC-448829,2017-04-19,2017-04-20,0.005,µg/L,Correcte,,,,,,,,
Propanil,le_Sauzignac,RAU_DE_SAUZIGNAC_À_JANS,20190103141829-PC-448829,2017-04-19,2017-04-20,0.005,µg/L,Correcte,,,,,,,,
Chloro-4_Nitrotoluène-2,le_Sauzignac,RAU_DE_SAUZIGNAC_À_JANS,20190103141829-PC-448829,2017-04-19,2017-04-20,0.05,µg/L,Correcte,,,,,,,,
Bupirimate,le_Sauzignac,RAU_DE_SAUZIGNAC_À_JANS,20190103141829-PC-448829,2017-04-19,2017-04-20,0.02,µg/L,Correcte,,,,,,,,
Phorate,le_Don,DON_à_GUEMENE-PENFAO,20190103152604-PC-451839,2017-04-20,2017-04-20,0.001,µg/L,Correcte,,,,,,,,
Chloroxuron,le_Don,DON_à_GUEMENE-PENFAO,20190103152604-PC-451839,2017-04-20,2017-04-20,0.01,µg/L,Correcte,,,,,,,,
Thiafluamide,le_Don,DON_à_GUEMENE-PENFAO,20190103152604-PC-451839,2017-04-20,2017-04-20,0.02,µg/L,Correcte,,,,,,,,
Paraquat_dichloride,le_Don,DON_à_GUEMENE-PENFAO,20190103152604-PC-451839,2017-04-20,2017-04-20,0.028,µg/L,Correcte,,,,,,,,
Dichlorvos,le_Don,DON_à_GUEMENE-PENFAO,20190103152607-PC-451840,2017-01-09,2017-01-09,0.005,µg/L,Correcte,,,,,,,,
EPN,le_Sauzignac,RAU_DE_SAUZIGNAC_À_JANS,20190103141951-PC-448871,2017-11-23,2017-11-23,0.1,µg/L,Correcte,,,,,,,,
Cloquintocet-mexyl,le_Sauzignac,RAU_DE_SAUZIGNAC_À_JANS,20190103141951-PC-448871,2017-11-23,2017-11-23,0.08,µg/L,Correcte,,,,,,,,
DBO5,le_Sauzignac,RAU_DE_SAUZIGNAC_À_JANS,20190206114138-PC-479037,2017-06-15,2017-06-16,0.8,mg(O2)/L,Correcte,,,,,,,,
pH,le_Sauzignac,RAU_DE_SAUZIGNAC_À_JANS,20190206114139-PC-479042,2017-11-15,2017-11-15,7.3,unité_pH,Correcte,,,,,,,,
DDE_44',le_Don,DON_à_GUEMENE-PENFAO,20190103152529-PC-451797,2017-02-20,2017-02-20,0.001,µg/L,Correcte,,,,,,,,
Phosphamidon,le_Don,DON_à_GUEMENE-PENFAO,20190103152529-PC-451797,2017-02-20,2017-02-20,0.01,µg/L,Correcte,,,,,,,,
Vamidothion,le_Don,DON_à_GUEMENE-PENFAO,20190103152529-PC-451797,2017-02-20,2017-02-20,0.01,µg/L,Correcte,,,,,,,,
mepiquat,le_Don,DON_à_GUEMENE-PENFAO,20190103152604-PC-451839,2017-04-20,2017-04-20,0.01,µg/L,Correcte,,,,,,,,
Flupyrsulfuron_meth_sod,le_Don,DON_à_GUEMENE-PENFAO,20190103152604-PC-451839,2017-04-20,2017-04-20,0.05,µg/L,Correcte,,,,,,,,
Alachlor_ESA,le_Don,DON_à_GUEMENE-PENFAO,20190103152604-PC-451839,2017-04-20,2017-04-20,0.02,µg/L,Correcte,,,,,,,,
Bromophos_éthyl,le_Don,DON_à_GUEMENE-PENFAO,20190103152607-PC-451840,2017-01-09,2017-01-09,0.001,µg/L,Correcte,,,,,,,,
DDE_44',le_Don,DON_à_GUEMENE-PENFAO,20190103152607-PC-451840,2017-01-09,2017-01-09,0.001,µg/L,Correcte,,,,,,,,
Monolinuron,le_Don,DON_à_GUEMENE-PENFAO,20190103152607-PC-451840,2017-01-09,2017-01-09,0.01,µg/L,Correcte,,,,,,,,
Diniconazole,le_Don,DON_à_GUEMENE-PENFAO,20190206114245-PC-479122,2017-11-15,2017-11-28,0.02,µg/L,Correcte,,,,,,,,
Cyazofamide,le_Don,DON_à_GUEMENE-PENFAO,20190206114245-PC-479122,2017-11-15,2017-11-28,0.05,µg/L,Correcte,,,,,,,,
Tétradifon,le_Don,DON_à_GUEMENE-PENFAO,20190206114237-PC-479118,2017-05-16,2017-05-18,0.001,µg/L,Correcte,,,,,,,,
Dinoterbe,le_Don,DON_à_GUEMENE-PENFAO,20190206114237-PC-479118,2017-05-16,2017-06-08,0.02,µg/L,Correcte,,,,,,,,
Pentachlorophénol,le_Don,DON_à_GUEMENE-PENFAO,20190206114237-PC-479118,2017-05-16,2017-06-08,0.02,µg/L,Correcte,,,,,,,,
Fénarimol,le_Don,DON_à_GUEMENE-PENFAO,20190206114237-PC-479118,2017-05-16,2017-06-09,0.05,µg/L,Correcte,,,,,,,,
Linuron,le_Don,DON_à_GUEMENE-PENFAO,20190206114237-PC-479118,2017-05-16,2017-06-09,0.01,µg/L,Correcte,,,,,,,,
Monocrotophos,le_Don,DON_à_GUEMENE-PENFAO,20190206114237-PC-479118,2017-05-16,2017-06-09,0.01,µg/L,Correcte,,,,,,,,
Furalaxyl,le_Don,DON_à_GUEMENE-PENFAO,20190206114237-PC-479118,2017-05-16,2017-06-09,0.01,µg/L,Correcte,,,,,,,,
Pendiméthaline,le_Don,DON_à_GUEMENE-PENFAO,20190206114240-PC-479119,2017-06-15,2017-06-26,0.001,µg/L,Correcte,,,,,,,,
Procymidone,le_Don,DON_à_GUEMENE-PENFAO,20190206114240-PC-479119,2017-06-15,2017-06-26,0.001,µg/L,Correcte,,,,,,,,
Heptachlore_époxyde_endo,le_Don,DON_à_GUEMENE-PENFAO,20190206114240-PC-479119,2017-06-15,2017-06-26,0.001,µg/L,Correcte,,,,,,,,
acifluorfen,le_Don,DON_à_GUEMENE-PENFAO,20190206114240-PC-479119,2017-06-15,2017-06-30,0.02,µg/L,Correcte,,,,,,,,
Cycloxydime,le_Don,DON_à_GUEMENE-PENFAO,20190206114240-PC-479119,2017-06-15,2017-07-06,0.01,µg/L,Correcte,,,,,,,,
Isoproturon,le_Don,DON_à_GUEMENE-PENFAO,20190206114240-PC-479119,2017-06-15,2017-07-17,0.01,µg/L,Correcte,,,,,,,,
Monuron,le_Don,DON_à_GUEMENE-PENFAO,20190206114240-PC-479119,2017-06-15,2017-07-17,0.01,µg/L,Correcte,,,,,,,,
Simazine-hydroxy,le_Don,DON_à_GUEMENE-PENFAO,20190206114240-PC-479119,2017-06-15,2017-07-17,0.01,µg/L,Correcte,,,,,,,,
Mepronil,le_Don,DON_à_GUEMENE-PENFAO,20190206114240-PC-479119,2017-06-15,2017-07-17,0.01,µg/L,Correcte,,,,,,,,
Amidosulfuron,le_Don,DON_à_GUEMENE-PENFAO,20190206114240-PC-479119,2017-06-15,2017-07-17,0.01,µg/L,Correcte,,,,,,,,
Acrinathrine,le_Don,DON_à_GUEMENE-PENFAO,20190206114242-PC-479120,2017-09-15,2017-09-21,0.02,µg/L,Correcte,,,,,,,,
Demeton-S-Methyl-Sulf.,le_Don,DON_à_GUEMENE-PENFAO,20190206114242-PC-479120,2017-09-15,2017-10-02,0.01,µg/L,Correcte,,,,,,,,
Fluométuron,le_Don,DON_à_GUEMENE-PENFAO,20190206114242-PC-479120,2017-09-15,2017-10-02,0.01,µg/L,Correcte,,,,,,,,
Penconazole,le_Don,DON_à_GUEMENE-PENFAO,20190206114242-PC-479120,2017-09-15,2017-10-02,0.01,µg/L,Correcte,,,,,,,,
Sébuthylazine,le_Don,DON_à_GUEMENE-PENFAO,20190206114242-PC-479120,2017-09-15,2017-10-02,0.01,µg/L,Correcte,,,,,,,,
Benfuracarbe,le_Don,DON_à_GUEMENE-PENFAO,20190206114242-PC-479120,2017-09-15,2017-10-02,0.01,µg/L,Correcte,,,,,,,,
Acibenzolar-S-Methyl,le_Don,DON_à_GUEMENE-PENFAO,20190206114242-PC-479120,2017-09-15,2017-10-02,0.05,µg/L,Correcte,,,,,,,,
Spiroxamine,le_Don,DON_à_GUEMENE-PENFAO,20190206114245-PC-479122,2017-11-15,2017-11-17,0.01,µg/L,Correcte,,,,,,,,
Carbophénothion,le_Don,DON_à_GUEMENE-PENFAO,20190206114245-PC-479122,2017-11-15,2017-11-22,0.001,µg/L,Correcte,,,,,,,,
Chloro-4_Méthylphénol-2,le_Don,DON_à_GUEMENE-PENFAO,20190206114245-PC-479122,2017-11-15,2017-11-22,0.02,µg/L,Correcte,,,,,,,,
Hexazinone,le_Don,DON_à_GUEMENE-PENFAO,20190206114234-PC-479117,2017-04-19,2017-04-27,0.01,µg/L,Correcte,,,,,,,,
Thiabendazole,le_Don,DON_à_GUEMENE-PENFAO,20190206114234-PC-479117,2017-04-19,2017-04-27,0.01,µg/L,Correcte,,,,,,,,
Aldrine,le_Don,DON_à_GUEMENE-PENFAO,20190206114237-PC-479118,2017-05-16,2017-05-18,0.001,µg/L,Correcte,,,,,,,,
Chlorméphos,le_Don,DON_à_GUEMENE-PENFAO,20190206114237-PC-479118,2017-05-16,2017-05-18,0.001,µg/L,Correcte,,,,,,,,
Diclofop_méthyl,le_Don,DON_à_GUEMENE-PENFAO,20190206114237-PC-479118,2017-05-16,2017-05-18,0.001,µg/L,Correcte,,,,,,,,
Chlorfenvinphos,le_Don,DON_à_GUEMENE-PENFAO,20190206114237-PC-479118,2017-05-16,2017-05-18,0.001,µg/L,Correcte,,,,,,,,
Triazophos,le_Don,DON_à_GUEMENE-PENFAO,20190206114237-PC-479118,2017-05-16,2017-05-18,0.001,µg/L,Correcte,,,,,,,,
Flurochloridone,le_Don,DON_à_GUEMENE-PENFAO,20190206114237-PC-479118,2017-05-16,2017-05-18,0.001,µg/L,Correcte,,,,,,,,
Haloxyfop,le_Don,DON_à_GUEMENE-PENFAO,20190206114237-PC-479118,2017-05-16,2017-06-08,0.02,µg/L,Correcte,,,,,,,,
Prosulfocarbe,le_Don,DON_à_GUEMENE-PENFAO,20190206114237-PC-479118,2017-05-16,2017-06-09,0.01,µg/L,Correcte,,,,,,,,
Carbaryl,le_Don,DON_à_GUEMENE-PENFAO,20190206114240-PC-479119,2017-06-15,2017-07-17,0.01,µg/L,Correcte,,,,,,,,
Ethidimuron,le_Don,DON_à_GUEMENE-PENFAO,20190206114240-PC-479119,2017-06-15,2017-07-17,0.01,µg/L,Correcte,,,,,,,,
Pencycuron,le_Don,DON_à_GUEMENE-PENFAO,20190206114240-PC-479119,2017-06-15,2017-07-17,0.01,µg/L,Correcte,,,,,,,,
Métosulame,le_Don,DON_à_GUEMENE-PENFAO,20190206114240-PC-479119,2017-06-15,2017-07-17,0.01,µg/L,Correcte,,,,,,,,
Propyzamide,l'Isac,ISAC_à_GUENROUET,20180103144801-PC-1128,2018-02-15,2018-02-15,0.005,µg/L,Correcte,,,,,,,,
Thiophanate-méthyl,l'Isac,ISAC_à_GUENROUET,20180103144801-PC-1128,2018-02-15,2018-02-15,0.02,µg/L,Correcte,,,,,,,,
Butylbenzène_tert,l'Isac,ISAC_à_GUENROUET,20180103144801-PC-1128,2018-02-15,2018-02-15,0.5,µg/L,0,75680009000257,Eurofins_IPL_Est_-_Maxéville,47.4969354275,-1.9254608851,,,,
PCB_105,l'Isac,ISAC_à_GUENROUET,20180103144801-PC-1128,2018-02-15,2018-02-15,0.001,µg/L,Correcte,,,,,,,,
Haloxyfop_méthyl,le_Falleron,FALLERON_à_MACHECOUL,20180205183858-PC-1970,2018-03-21,2018-03-21,0.01,µg/L,Correcte,,,,,,,,
2-tBuPhénol,le_Falleron,FALLERON_à_MACHECOUL,20180205183858-PC-1970,2018-03-21,2018-03-21,0.02,µg/L,Correcte,,,,,,,,
Azinphos_méthyl,le_Falleron,FALLERON_à_MACHECOUL,20180228100119-PC-2777,2018-04-25,2018-04-25,0.01,µg/L,Correcte,,,,,,,,
Heptachlore,le_Falleron,FALLERON_à_MACHECOUL,20180228100119-PC-2777,2018-04-25,2018-04-25,0.005,µg/L,Correcte,,,,,,,,
HCH_gamma,le_Falleron,FALLERON_à_MACHECOUL,20180228100119-PC-2777,2018-04-25,2018-04-25,0.001,µg/L,Correcte,,,,,,,,
Méthoxychlore,le_Falleron,FALLERON_à_MACHECOUL,20180228100119-PC-2777,2018-04-25,2018-04-25,0.01,µg/L,Correcte,,,,,,,,
Escherichia_coli,canal_de_Haute_Perche,CANAL_DE_HAUTE_PERCHE_à_PORNIC,20190219104332-PC-480072,2018-11-06,2018-11-06,514.0,n/(100mL),Correcte,,,,,,,,
Alachlore,le_Falleron,FALLERON_à_MACHECOUL,20171220163318-PC-192,2018-01-16,2018-01-16,0.002,µg/L,Correcte,,,,,,,,
Dichloromonobromométhane,le_Falleron,FALLERON_à_MACHECOUL,20171220163318-PC-192,2018-01-16,2018-01-16,0.5,µg/L,0,75680009000257,Eurofins_IPL_Est_-_Maxéville,46.9888461009,-1.80915019184,,,,
Endosulfan_A,le_Falleron,FALLERON_à_MACHECOUL,20171220163318-PC-192,2018-01-16,2018-01-16,0.001,µg/L,Correcte,,,,,,,,
Fenthion,le_Falleron,FALLERON_à_MACHECOUL,20171220163318-PC-192,2018-01-16,2018-01-16,0.005,µg/L,Correcte,,,,,,,,
Monolinuron,le_Falleron,FALLERON_à_MACHECOUL,20171220163318-PC-192,2018-01-16,2018-01-16,0.002,µg/L,Correcte,,,,,,,,
PCB_28,le_Falleron,FALLERON_à_MACHECOUL,20171220163318-PC-192,2018-01-16,2018-01-16,0.00030000000000000003,µg/L,Correcte,,,,,,,,
PCB_180,le_Falleron,FALLERON_à_MACHECOUL,20171220163318-PC-192,2018-01-16,2018-01-16,0.00030000000000000003,µg/L,Correcte,,,,,,,,
Phosphore_total,le_Falleron,FALLERON_à_MACHECOUL,20171220163318-PC-192,2018-01-16,2018-01-16,0.35000000000000003,mg(P)/L,Correcte,,,,,,,,
Chloronaphtalène-1,le_Falleron,FALLERON_à_MACHECOUL,20171220163318-PC-192,2018-01-16,2018-01-16,0.02,µg/L,Correcte,,,,,,,,
Mésitylène,le_Falleron,FALLERON_à_MACHECOUL,20180426103738-PC-5583,2018-06-27,2018-06-27,1.0,µg/L,0,75680009000257,Eurofins_IPL_Est_-_Maxéville,46.9888461009,-1.80915019184,,,,
Chloro-4_Nitroaniline-2,le_Falleron,FALLERON_à_MACHECOUL,20180426103738-PC-5583,2018-06-27,2018-06-27,0.1,µg/L,Correcte,,,,,,,,
Métazachlore,le_Falleron,FALLERON_à_MACHECOUL,20180426103738-PC-5583,2018-06-27,2018-06-27,0.002,µg/L,Correcte,,,,,,,,
Penconazole,le_Falleron,FALLERON_à_MACHECOUL,20180426103738-PC-5583,2018-06-27,2018-06-27,0.02,µg/L,Correcte,,,,,,,,
Sulfotep,le_Falleron,FALLERON_à_MACHECOUL,20180426103738-PC-5583,2018-06-27,2018-06-27,0.01,µg/L,Correcte,,,,,,,,
Ioxynil_octanoate,le_Falleron,FALLERON_à_MACHECOUL,20180426103738-PC-5583,2018-06-27,2018-06-27,0.01,µg/L,Correcte,,,,,,,,
Pretilachlore,le_Falleron,FALLERON_à_MACHECOUL,20180426103738-PC-5583,2018-06-27,2018-06-27,0.04,µg/L,Correcte,,,,,,,,
propaquizafop,le_Falleron,FALLERON_à_MACHECOUL,20180426103738-PC-5583,2018-06-27,2018-06-27,0.02,µg/L,Correcte,,,,,,,,
fluridone,le_Falleron,FALLERON_à_MACHECOUL,20180426103738-PC-5583,2018-06-27,2018-06-27,0.002,µg/L,Correcte,,,,,,,,
Flumioxazine,le_Falleron,FALLERON_à_MACHECOUL,20180426103738-PC-5583,2018-06-27,2018-06-27,0.02,µg/L,Correcte,,,,,,,,
Carboxine,le_Falleron,FALLERON_à_MACHECOUL,20180426103738-PC-5583,2018-06-27,2018-06-27,0.005,µg/L,Correcte,,,,,,,,
PCB_123,le_Falleron,FALLERON_à_MACHECOUL,20180426103738-PC-5583,2018-06-27,2018-06-27,0.01,µg/L,Correcte,,,,,,,,
Pyraflufen-ethyl,le_Falleron,FALLERON_à_MACHECOUL,20180426103738-PC-5583,2018-06-27,2018-06-27,0.03,µg/L,Correcte,,,,,,,,
Brodifacoum,le_Falleron,FALLERON_à_MACHECOUL,20180426103738-PC-5583,2018-06-27,2018-06-27,0.1,µg/L,Correcte,,,,,,,,
6-Chloro-m-toluidine,le_Falleron,FALLERON_à_MACHECOUL,20180228100119-PC-2777,2018-04-25,2018-04-25,0.03,µg/L,Correcte,,,,,,,,
3-Chloro-p-toluidine,le_Falleron,FALLERON_à_MACHECOUL,20180228100119-PC-2777,2018-04-25,2018-04-25,0.1,µg/L,Correcte,,,,,,,,
Difethialone,le_Falleron,FALLERON_à_MACHECOUL,20180228100119-PC-2777,2018-04-25,2018-04-25,0.02,µg/L,Correcte,,,,,,,,
O-Methylaniline,le_Falleron,FALLERON_à_MACHECOUL,20180228100119-PC-2777,2018-04-25,2018-04-25,0.05,µg/L,Correcte,,,,,,,,
Somme_4_DDT,le_Falleron,FALLERON_à_MACHECOUL,20180228100119-PC-2777,2018-04-25,2018-04-25,0.002,µg/L,Correcte,,,,,,,,
benzotriazole,le_Falleron,FALLERON_à_MACHECOUL,20180228100119-PC-2777,2018-04-25,2018-04-25,0.1,µg/L,Correcte,,,,,,,,
ClCF3NH2Benzene,le_Falleron,FALLERON_à_MACHECOUL,20180228100119-PC-2777,2018-04-25,2018-04-25,0.2,µg/L,Correcte,,,,,,,,
Lambda-cyhalothrine,le_Falleron,FALLERON_à_MACHECOUL,20180404102257-PC-4273,2018-05-24,2018-05-24,0.03,µg/L,Correcte,,,,,,,,
Atrazine,le_Falleron,FALLERON_à_MACHECOUL,20180404102257-PC-4273,2018-05-24,2018-05-24,0.003,µg/L,Correcte,,,,,,,,
Chloroforme,le_Falleron,FALLERON_à_MACHECOUL,20180404102257-PC-4273,2018-05-24,2018-05-24,0.5,µg/L,0,75680009000257,Eurofins_IPL_Est_-_Maxéville,46.9888461009,-1.80915019184,,,,
Dichloromonobromométhane,le_Falleron,FALLERON_à_MACHECOUL,20180404102257-PC-4273,2018-05-24,2018-05-24,0.5,µg/L,0,75680009000257,Eurofins_IPL_Est_-_Maxéville,46.9888461009,-1.80915019184,,,,
Naphtol-1,le_Falleron,FALLERON_à_MACHECOUL,20180404102257-PC-4273,2018-05-24,2018-05-24,0.02,µg/L,Correcte,,,,,,,,
HCH_gamma,le_Falleron,FALLERON_à_MACHECOUL,20180404102257-PC-4273,2018-05-24,2018-05-24,0.001,µg/L,Correcte,,,,,,,,
Pyrimiphos-éthyl,le_Falleron,FALLERON_à_MACHECOUL,20180404102257-PC-4273,2018-05-24,2018-05-24,0.005,µg/L,Correcte,,,,,,,,
Dibromométhane,le_Falleron,FALLERON_à_MACHECOUL,20180404102257-PC-4273,2018-05-24,2018-05-24,1.0,µg/L,0,75680009000257,Eurofins_IPL_Est_-_Maxéville,46.9888461009,-1.80915019184,,,,
Phénanthrène,le_Falleron,FALLERON_à_MACHECOUL,20180404102257-PC-4273,2018-05-24,2018-05-24,0.002,µg/L,Correcte,,,,,,,,
Pirimicarbe,le_Falleron,FALLERON_à_MACHECOUL,20180404102257-PC-4273,2018-05-24,2018-05-24,0.005,µg/L,Correcte,,,,,,,,
Pyrifenox,le_Falleron,FALLERON_à_MACHECOUL,20180404102257-PC-4273,2018-05-24,2018-05-24,0.002,µg/L,Correcte,,,,,,,,
Teinte_de_l'eau,le_Falleron,FALLERON_à_MACHECOUL,20180525155404-PC-8441,2018-07-26,2018-07-26,,X,Correcte,,,,,,,,
Diallate,le_Falleron,FALLERON_à_MACHECOUL,20180525155404-PC-8441,2018-07-26,2018-07-27,0.02,µg/L,Correcte,,,,,,,,
